Date,driving,transit,walking,y,y-1,y-2,y-3,y-4,y-5
2020-01-21,9.099999999999994,13.480000000000004,8.319999999999991,0,0,0,0,0,0
2020-01-22,12.439999999999998,11.560000000000002,11.010000000000005,0,0,0,0,0,0
2020-01-23,19.67,12.310000000000002,16.239999999999995,0,0,0,0,0,0
2020-01-24,28.550000000000008,15.989999999999995,35.34,0,0,0,0,0,0
2020-01-25,26.5,-4.069999999999993,56.93000000000001,0,0,0,0,0,0
2020-01-26,-7.760000000000005,-25.099999999999994,9.400000000000006,1,0,0,0,0,0
2020-01-27,3.3599999999999994,9.879999999999997,5.980000000000004,0,1,0,0,0,0
2020-01-28,7.510000000000005,8.930000000000009,8.579999999999998,0,0,1,0,0,0
2020-01-29,9.36,7.849999999999994,7.579999999999997,0,0,0,1,0,0
2020-01-30,12.47,7.650000000000006,12.840000000000005,0,0,0,0,1,0
2020-01-31,27.22,14.819999999999993,37.34,0,0,0,0,0,1
2020-02-01,24.760000000000005,0.049999999999997165,64.09,0,0,0,0,0,0
2020-02-02,-14.829999999999998,-24.79000000000001,1.2399999999999949,0,0,0,0,0,0
2020-02-03,0.3299999999999983,1.6400000000000006,-3.6800000000000064,0,0,0,0,0,0
2020-02-04,6.079999999999997,7.349999999999994,2.6500000000000057,0,0,0,0,0,0
2020-02-05,11.25,8.280000000000001,6.709999999999994,0,0,0,0,0,0
2020-02-06,16.39,14.810000000000002,12.870000000000005,0,0,0,0,0,0
2020-02-07,31.960000000000008,16.689999999999998,38.34,0,0,0,0,0,0
2020-02-08,26.04000000000001,-4.1200000000000045,56.31,0,0,0,0,0,0
2020-02-09,-9.540000000000006,-26.40000000000001,2.8700000000000045,0,0,0,0,0,0
2020-02-10,9.329999999999998,15.040000000000004,9.659999999999997,0,0,0,0,0,0
2020-02-11,13.78,15.760000000000005,10.180000000000009,0,0,0,0,0,0
2020-02-12,17.120000000000005,14.200000000000005,13.560000000000002,0,0,0,0,0,0
2020-02-13,27.67,18.010000000000005,24.77,0,0,0,0,0,0
2020-02-14,52.25999999999999,23.77,58.27000000000001,0,0,0,0,0,0
2020-02-15,27.17,-2.8400000000000034,63.50999999999999,0,0,0,0,0,0
2020-02-16,2.6700000000000017,-15.709999999999996,31.93000000000001,0,0,0,0,0,0
2020-02-17,6.1200000000000045,0.060000000000002274,15.72,0,0,0,0,0,0
2020-02-18,16.700000000000006,24.04000000000001,13.099999999999996,0,0,0,0,0,0
2020-02-19,17.430000000000007,20.52,14.549999999999995,0,0,0,0,0,0
2020-02-20,23.52,23.55,21.730000000000004,0,0,0,0,0,0
2020-02-21,37.35,23.959999999999994,43.47999999999999,0,0,0,0,0,0
2020-02-22,27.849999999999994,-1.8599999999999997,56.53,0,0,0,0,0,0
2020-02-23,2.0600000000000023,-14.290000000000004,24.05,0,0,0,0,0,0
